"ID","Type","Name","Documentation","Source","Target","Specialization"
"375dcaf4-3cd6-4418-8334-8e46e5b0df9a","CompositionRelationship","","","96cfff3d-f075-4dad-b53c-238785abb264","9d8428fa-957e-4464-bdf7-6ced1e86b00f",""
"e4096d0a-2549-42f5-8d73-f75a6416cdd1","CompositionRelationship","","","96cfff3d-f075-4dad-b53c-238785abb264","1ff55caa-1ae9-49a7-a67f-76936e56f0b2",""
"095344a7-c576-46b1-bfb9-15d3554bb250","CompositionRelationship","","","96cfff3d-f075-4dad-b53c-238785abb264","cebdb87f-da1c-421f-869c-0361223f901f",""
"276487ad-cddc-4512-b531-4c0993934010","CompositionRelationship","","","f748c2f1-c417-40ba-a072-47eeb821c09d","c25fc5fc-0730-4c18-98d9-b9bd02bea983",""
"406881fb-ceb3-49c0-bb42-56d82266ffa1","CompositionRelationship","","","f748c2f1-c417-40ba-a072-47eeb821c09d","890fb9dd-c023-43ba-82d4-dbca1cdd4637",""
"1b4bad29-9713-45d8-b7db-9972f1d540ce","CompositionRelationship","","","35a98b9a-730e-4fb3-9966-1c91b9aaea04","d2eac684-cb15-41f0-ae32-0bc18d44d827",""
"774385c8-4566-4d10-964f-3353cfc09bef","FlowRelationship","","","96cfff3d-f075-4dad-b53c-238785abb264","f748c2f1-c417-40ba-a072-47eeb821c09d",""
"59028f26-58c6-439a-a62b-117b16c11205","FlowRelationship","","","f748c2f1-c417-40ba-a072-47eeb821c09d","35a98b9a-730e-4fb3-9966-1c91b9aaea04",""
"405a83b6-8733-4d33-b7a6-5137b812fc58","FlowRelationship","","","9f1c49cd-ee3e-4fcc-b328-efcfa95b725e","3876dd7a-7626-4eff-a36c-4c8491054f99",""
"83704723-7f72-46f4-8307-f40506d02fac","FlowRelationship","","","987d22bc-5c75-43b1-a849-b58fb85a7875","8dc61915-ae7c-4aca-a376-8f98b588f4fd",""
"021cea0a-1623-456c-ada9-a149d0729f97","FlowRelationship","","","334aa8b6-9827-4d01-aee5-7b4c4e723c7d","d31a6162-101b-4198-a8e6-f45178fa754d",""
"4f0dfde2-178a-44e2-a556-d208d2ee89e7","FlowRelationship","","","3876dd7a-7626-4eff-a36c-4c8491054f99","334aa8b6-9827-4d01-aee5-7b4c4e723c7d",""
"d62e61c7-672f-49b0-9d67-e16a10109ab5","FlowRelationship","","","8dc61915-ae7c-4aca-a376-8f98b588f4fd","9f1c49cd-ee3e-4fcc-b328-efcfa95b725e",""
"544cd4f1-7603-4bdb-9a6f-b4dd1ccca057","FlowRelationship","","","a51bcbe8-1d84-4b0a-80c3-8821e5486fef","f1d97246-df64-4523-8fc1-50e9d1775c42",""
"be93edbe-c916-42df-ab5a-f4757668b8cd","FlowRelationship","","","f1d97246-df64-4523-8fc1-50e9d1775c42","b9e2f69a-55b0-489b-abf9-4b372ed1904b",""
"a5722df2-0f05-4874-9b57-6d0c513a9f2b","FlowRelationship","","","5ffd2be9-2dda-45a8-b4a3-4d5c81758119","8bb817cc-4e86-49b8-9de0-0058c796522c",""
"14cef89b-43b7-4144-b409-6823eb143cea","FlowRelationship","","","8bb817cc-4e86-49b8-9de0-0058c796522c","5e246d69-38db-442a-baf6-7f56e7bc2850",""
"81beb32e-973a-48c9-9443-0d5cd28d64b1","FlowRelationship","","","d31a6162-101b-4198-a8e6-f45178fa754d","5ffd2be9-2dda-45a8-b4a3-4d5c81758119",""
"cf2095a7-f856-4d37-be7c-cdaf557cea71","FlowRelationship","","","5e246d69-38db-442a-baf6-7f56e7bc2850","a51bcbe8-1d84-4b0a-80c3-8821e5486fef",""
